Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.250000,148.250000,143.875000,145.437500,94.946457,8164300
2000-01-04,143.531250,144.062500,139.640625,139.750000,91.233429,8089800
2000-01-05,139.937500,141.531250,137.250000,140.000000,91.396667,12177900
2000-01-06,139.625000,141.500000,137.750000,137.750000,89.927780,6227200
2000-01-07,140.312500,145.750000,140.062500,145.750000,95.150490,8066500
2000-01-10,146.250000,146.906250,145.031250,146.250000,95.476875,5741700
2000-01-11,145.812500,146.093750,143.500000,144.500000,94.334396,7503700
2000-01-12,144.593750,144.593750,142.875000,143.062500,93.395981,6907700
2000-01-13,144.468750,145.750000,143.281250,145.000000,94.660820,5158300
2000-01-14,146.531250,147.468750,145.968750,146.968750,95.946121,7437300
2000-01-18,145.343750,146.625000,145.187500,145.812500,95.191254,6488500
2000-01-19,145.312500,147.000000,145.000000,147.000000,95.966492,6157900
2000-01-20,146.968750,146.968750,143.812500,144.750000,94.497620,5800100
2000-01-21,145.500000,145.500000,144.062500,144.437500,94.293610,6244800
2000-01-24,145.656250,145.843750,139.406250,140.343750,91.621094,7896900
2000-01-25,140.515625,141.937500,139.000000,141.937500,92.661537,9942500
2000-01-26,141.000000,141.546875,140.093750,140.812500,91.927101,5158100
2000-01-27,141.843750,142.218750,138.125000,140.250000,91.559853,10922700
2000-01-28,139.437500,140.062500,135.531250,135.875000,88.703712,11916200
2000-01-31,135.812500,139.671875,135.000000,139.562500,91.111023,10768700
2000-02-01,139.750000,141.687500,138.531250,140.937500,92.008705,8419900
2000-02-02,141.281250,142.250000,140.375000,141.062500,92.090302,6205900
2000-02-03,140.875000,143.250000,140.000000,143.187500,93.477539,7997500
2000-02-04,143.187500,144.000000,142.125000,142.593750,93.089935,4925400
2000-02-07,142.562500,142.781250,141.437500,142.375000,92.947174,5845800
2000-02-08,143.968750,144.562500,143.625000,144.312500,94.212006,4936400
2000-02-09,144.468750,144.468750,141.265625,141.281250,92.233139,8511500
2000-02-10,141.625000,142.562500,140.875000,141.562500,92.416649,6690600
2000-02-11,141.843750,141.937500,138.031250,138.687500,90.539833,9849800
2000-02-14,139.781250,139.781250,138.312500,139.500000,91.070236,8528800
2000-02-15,139.250000,141.218750,137.796875,141.078125,92.100517,11078300
2000-02-16,140.375000,140.937500,138.796875,139.000000,90.743797,8845400
2000-02-17,140.437500,140.437500,138.218750,138.281250,90.274605,7584200
2000-02-18,138.875000,138.875000,134.625000,135.312500,88.336487,9409200
2000-02-22,135.187500,136.343750,133.531250,134.968750,88.112076,16415400
2000-02-23,135.625000,137.468750,134.500000,136.562500,89.152573,12119000
2000-02-24,136.687500,137.031250,133.093750,133.812500,87.357262,17375000
2000-02-25,135.187500,136.718750,133.125000,133.328125,87.041054,10559900
2000-02-28,133.375000,136.687500,132.718750,136.125000,88.866898,13397800
2000-02-29,136.062500,137.437500,135.750000,137.437500,89.723785,8242500
2000-03-01,137.625000,139.000000,137.218750,138.437500,90.376617,6868000
2000-03-02,138.687500,139.125000,137.343750,138.531250,90.437813,7600200
2000-03-03,140.437500,141.718750,139.718750,141.125000,92.131126,12770300
2000-03-06,140.812500,141.343750,138.750000,139.750000,91.233429,11967100
2000-03-07,140.000000,140.156250,135.218750,137.046875,89.468788,20062000
2000-03-08,136.468750,137.843750,135.031250,136.875000,89.356567,11808500
2000-03-09,137.250000,140.875000,136.125000,140.875000,91.967903,5500900
2000-03-10,140.187500,142.000000,139.531250,140.125000,91.478271,7924600
2000-03-13,136.687500,140.468750,135.687500,138.593750,90.478615,10540500
2000-03-14,139.281250,140.093750,136.156250,136.625000,89.193352,8263900
2000-03-15,136.875000,140.437500,136.062500,139.812500,91.274246,10300800
2000-03-16,141.625000,146.843750,140.875000,146.343750,95.538063,25601400
2000-03-17,145.812500,148.000000,145.437500,146.937500,96.169525,10272900
2000-03-20,146.875000,147.343750,144.781250,146.187500,95.678619,12502300
2000-03-21,145.531250,149.750000,144.500000,149.187500,97.642113,13612600
2000-03-22,149.562500,150.843750,148.687500,150.093750,98.235252,8260000
2000-03-23,149.156250,153.468750,149.156250,152.656250,99.912392,11654500
2000-03-24,152.875000,155.750000,151.718750,153.562500,100.505516,11462900
2000-03-27,153.375000,153.781250,151.812500,151.937500,99.441978,8798600
